kommunId;kommun;totalBefolkning;forskningUtbildning;eftergymnasial3Plus;eftergymnasialMindre3;gymnasial3Ar;gymnasialHogst2Ar;grundskola;forgymnasial;kommunNormalized
1281;Lund;64499;0.56;0.16;0.12;0.08;0.03;0.01;0.03;lund
1282;Landskrona;24143;0.22;0.16;0.26;0.20;0.09;0.04;0.03;landskrona
1283;Helsingborg;80213;0.28;0.18;0.23;0.17;0.08;0.04;0.03;helsingborg
1284;Höganäs;13398;0.31;0.18;0.26;0.15;0.06;0.01;0.03;hoganas
1285;Eslöv;18042;0.26;0.17;0.26;0.18;0.08;0.03;0.03;eslov
1286;Ystad;15267;0.27;0.18;0.28;0.18;0.06;0.01;0.01;ystad
1287;Trelleborg;24188;0.22;0.16;0.28;0.20;0.09;0.02;0.03;trelleborg
1290;Kristianstad;43095;0.26;0.17;0.26;0.19;0.08;0.03;0.02;kristianstad
1291;Simrishamn;8411;0.23;0.15;0.26;0.21;0.10;0.02;0.03;simrishamn
1292;Ängelholm;22430;0.25;0.18;0.29;0.17;0.07;0.02;0.03;angelholm
1293;Hässleholm;26051;0.22;0.16;0.27;0.20;0.10;0.03;0.03;hassleholm
1315;Hylte;4969;0.15;0.12;0.28;0.25;0.12;0.04;0.03;hylte
1380;Halmstad;53458;0.29;0.17;0.25;0.18;0.07;0.03;0.02;halmstad
1381;Laholm;12723;0.21;0.14;0.30;0.22;0.09;0.02;0.03;laholm
1382;Falkenberg;22990;0.21;0.15;0.30;0.21;0.08;0.02;0.02;falkenberg
1383;Varberg;33726;0.27;0.17;0.29;0.17;0.07;0.01;0.02;varberg
1384;Kungsbacka;42516;0.34;0.19;0.25;0.14;0.05;0.01;0.02;kungsbacka
1401;Härryda;20613;0.39;0.18;0.22;0.13;0.06;0.01;0.02;harryda
1402;Partille;21503;0.39;0.18;0.21;0.13;0.05;0.02;0.03;partille
1407;Öckerö;6007;0.27;0.18;0.26;0.19;0.08;0.01;0.01;ockero
1415;Stenungsund;14067;0.27;0.18;0.27;0.18;0.06;0.01;0.02;stenungsund
1419;Tjörn;7520;0.25;0.17;0.28;0.19;0.07;0.01;0.02;tjorn
1421;Orust;7130;0.21;0.15;0.30;0.22;0.09;0.01;0.02;orust
1427;Sotenäs;4243;0.20;0.14;0.30;0.22;0.11;0.01;0.02;sotenas
1430;Munkedal;5066;0.16;0.13;0.33;0.25;0.09;0.02;0.02;munkedal
1435;Tanum;6005;0.20;0.13;0.30;0.22;0.10;0.02;0.03;tanum
1438;Dals-Ed;2183;0.16;0.13;0.31;0.21;0.12;0.01;0.05;dalsed
1439;Färgelanda;3119;0.14;0.13;0.32;0.26;0.12;0.01;0.02;fargelanda
1440;Ale;16880;0.26;0.16;0.27;0.19;0.08;0.02;0.02;ale
1441;Lerum;21840;0.36;0.18;0.24;0.14;0.05;0.01;0.01;lerum
1442;Vårgårda;6250;0.20;0.14;0.30;0.21;0.09;0.03;0.02;vargarda
1443;Bollebygd;4929;0.25;0.16;0.30;0.18;0.08;0.01;0.02;bollebygd
1444;Grästorp;2759;0.18;0.15;0.31;0.24;0.09;0.01;0.02;grastorp
1445;Essunga;2682;0.15;0.12;0.32;0.25;0.11;0.02;0.02;essunga
1446;Karlsborg;3263;0.21;0.16;0.34;0.20;0.07;0.01;0.02;karlsborg
1447;Gullspång;2285;0.14;0.12;0.30;0.25;0.13;0.03;0.03;gullspang
1452;Tranemo;5743;0.17;0.12;0.32;0.21;0.13;0.02;0.02;tranemo
1460;Bengtsfors;4273;0.17;0.12;0.29;0.24;0.12;0.03;0.03;bengtsfors
